name,price,score,review,reviews_amount
Egidijaus Vila,€ 420,9.6,Exceptional,180
Hotel Jurate,€ 525,8.6,Excellent,"1,218"
Nidos Banga,€ 589,8.1,Very Good,"1,496"
Sandy Shores / Smėlio Krantai - 2 kambarių butas,€ 475,NaN,NaN,NaN
Aika,€ 599,8.5,Very Good,453
Haus Artas,€ 487,9.1,Wonderful,375
Kastytis,€ 208,8.3,Very Good,"1,037"
Prie Mariu,€ 465,9.0,Wonderful,410
Guest House Vasara,€ 543,8.8,Excellent,658
Laputė Nida,€ 513,NaN,NaN,NaN
Apartamentai centre pas Lina,€ 547,9.9,Exceptional,14
Lakeview Apartment with Terrace,€ 610,8.8,Excellent,30
Hostel El Nido,€ 570,8.7,Excellent,585
Sangrita Nida ADULTS ONLY,€ 665,8.4,Very Good,57
Butas Nidoje,€ 713,9.3,Wonderful,39
Harmony Park Nida House,"€ 1,290",9.1,Wonderful,164
Apartamentai Viktorija,€ 342,8.9,Excellent,127
Nidos HELIO apartamentai,€ 460,8.8,Excellent,9
Kiras,€ 228,6.0,Review score,31
Apartamentai su vaizdu i marias,€ 713,7.6,Good,5
"Jachta "" Džaladūta""",€ 367,8.0,Very Good,32
Nida Apartments,€ 500,9.6,Exceptional,38
Alexa Nida Lighthouse Apartment,€ 870,8.1,Very Good,15
Nidos Seklyčia,€ 627,8.9,Excellent,20
Skalva Nida,€ 499,8.7,Excellent,532
A T Ò K V Ė P I S,"€ 1,584",NaN,NaN,NaN
"Jūros Banga - A/C, Self Check-in","€ 1,167",NaN,NaN,NaN
Pušyno Apartamentai,€ 720,7.5,Good,8
Banga & Sunrise Nida,"€ 1,740",9.4,Wonderful,17
Laputė Nida,€ 540,NaN,NaN,NaN
Lovely Nida Studio,"€ 1,197",9.5,Exceptional,11
Heritage House Nida,"€ 1,188",9.5,Exceptional,17
Studio & Sunrise Nida,"€ 1,740",9.3,Wonderful,11
Apatamentas Nidos centre,€ 597,9.4,Wonderful,17
